"References"
"Acquaroni et al 2021"
"Anguiano et al. 2001"
"Attademo et al. 2016"
"Awadalla et al 2019"
"Barreto et al 2020"
"Bhuyan et al 2020"
"Boccioni et al 2020"
"Boccioni et al. 2022"
"Burraco & Gomez-Mestre 2016"
"Burraco et al. 2013"
"Carvalho et al 2020"
"Chai et al 2017"
"Cheng et al 2017"
"Cheron et al 2021"
"Cheron et al. 2022"
"Coltro et al 2017"
"Costa et al. 2008"
"Czarniewska et al. 2003"
"David et al. 2012"
"Dornelles & Oliveira 2016"
"Ejilibe et al 2018"
"Ezemonye & Tongo 2010"
"Falfushynska et al 2017a"
"Falfushynska et al. 2015"
"Falfushynska et al. 2017b"
"Ferrari et al 2009"
"Ferrari et al 2011"
"Ferrari et al. 2008"
"Fogliano et al. 2022"
"Freitas et al 2017a"
"Freitas et al 2017b"
"Freitas et al. 2022"
"Gillardin et al. 2009"
"Huang et al. 2007"
"Isnas et al. 2012"
"Jiang et al 2019"
"Jones et al. 2010"
"Kanter & Celik 2012"
"Kostaropoulos et al. 2005"
"Lajmanovich et al 2015a"
"Lajmanovich et al 2015b"
"Lajmanovich et al 2018a"
"Lajmanovich et al 2018b"
"Lajmanovich et al 2021"
"Lascano et al. 2011"
"Li et al 2018a"
"Li et al 2018b"
"Li et al. 2017"
"Liendro et al 2015"
"Liu et al 2021"
"Liu et al. 2006"
"Loumbourdis 2006"
"Lourido et al. 2022"
"Lu et al 2021"
"Mardirosian et al 2015"
"Martins et al 2017"
"Martinuzzi et al. 2020"
"Meddeb et al. 2023"
"Mussi et al 2010"
"Naab et al. 2001"
"Nascimento et al 2021"
"Nasia et al 2018"
"Ozkol et al. 2012"
"Pal et al 2018"
"Papadimitriou & Loumbourdis 2002"
"Peltzer et al 2019"
"Peltzer et al. 2022"
"Radovanovic et al 2021"
"Radovanović et al 2017"
"Rosenbaum et al. 2012"
"Rutkoski et al 2020"
"Rutkoski et al 2021"
"Rutkoski et al. 2024"
"Saad et al 2021"
"Salvaterra et al. 2013"
"Saria et al. 2014"
"Shi et al 2018"
"Silva et al 2021"
"Sotomayor et al 2015"
"Sura et al 2006"
"Svartz et al 2020"
"Tang et al 2018"
"Trachantong et al. 2017"
"Turhan & Güngordü 2022"
"Uçkun & Özmen 2021"
"Valverde et al. 2022"
"Venturino et al. 2001"
"Vogiatzis & Loumbourdis 1998"
"Wang &  Jia 2009"
"Wang et al. 2023"
"Warsneski et al. 2024"
"Wilkens et al 2019"
"Wu et al 2017"
"Xie et al 2019"
"Xu & Huang 2017"
"Yermolenko et al. 2023"
"Yin et al. 2014"
"Yologlu & Ozmen 2015"
"Zhang et al 2018a"
"Zhang et al 2018b"
"Zhang et al 2019a"
"Zhang et al 2019b"
"Zhang et al. 2012"
"Zhou et al. 2023"
